Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,127.650002,128.610001,126.070000,127.290001,123.826897,1391900
2019-01-03,126.440002,127.250000,124.449997,124.669998,121.278168,1746200
2019-01-04,126.419998,128.910004,126.419998,128.399994,124.906685,1977800
2019-01-07,127.849998,128.779999,126.790001,127.360001,123.894974,1398900
2019-01-08,127.910004,128.339996,125.480003,126.379997,122.941643,1627500
2019-01-09,127.480003,128.389999,126.930000,127.959999,124.478653,2402000
2019-01-10,128.429993,129.630005,127.779999,129.529999,126.005943,1307300
2019-01-11,129.000000,129.940002,128.240005,129.520004,125.996223,1300400
2019-01-14,129.100006,131.000000,128.660004,130.839996,127.280289,1877700
2019-01-15,131.690002,133.130005,130.330002,132.449997,128.846512,2143900
2019-01-16,133.479996,133.910004,132.229996,132.960007,129.342636,1803600
2019-01-17,133.020004,133.669998,132.199997,132.860001,129.245346,2090800
2019-01-18,133.529999,134.210007,132.929993,133.589996,129.955475,2240700
2019-01-22,133.119995,133.490005,130.649994,131.149994,127.581871,2432100
2019-01-23,131.179993,132.360001,130.169998,132.059998,128.467102,1212600
2019-01-24,131.679993,132.729996,130.860001,132.410004,128.807587,1270100
2019-01-25,133.110001,134.429993,132.000000,132.289993,128.690826,1579400
2019-01-28,131.710007,132.500000,130.720001,131.990005,128.399017,1323200
2019-01-29,131.630005,132.100006,130.710007,131.399994,127.825058,1128000
2019-01-30,131.600006,133.039993,130.860001,132.800003,129.186981,1317600
2019-01-31,132.339996,133.270004,131.490005,133.050003,129.430176,2602500
2019-02-01,133.199997,133.800003,132.520004,133.570007,129.936050,1331300
2019-02-04,133.169998,133.940002,132.529999,133.929993,130.286240,1560500
2019-02-05,134.000000,134.509995,132.899994,134.509995,130.850449,1903100
2019-02-06,131.619995,132.000000,129.570007,129.880005,126.346413,3748800
2019-02-07,129.929993,131.169998,129.360001,130.619995,127.066292,2226000
2019-02-08,130.119995,130.460007,128.580002,130.350006,126.803635,1883200
2019-02-11,130.750000,130.940002,129.320007,130.570007,127.017639,1444300
2019-02-12,131.270004,132.570007,130.570007,132.240005,128.642227,1425200
2019-02-13,132.449997,133.660004,132.160004,132.509995,128.904861,1490100
2019-02-14,131.690002,131.690002,129.889999,130.720001,127.163582,1787000
2019-02-15,131.899994,133.240005,131.899994,133.210007,129.585831,1420100
2019-02-19,132.990005,134.070007,132.410004,133.759995,130.120850,1070600
2019-02-20,133.990005,134.820007,133.190002,134.809998,131.142288,1166500
2019-02-21,134.869995,135.710007,134.220001,134.710007,131.045029,1499800
2019-02-22,135.190002,135.350006,134.220001,134.509995,130.850449,1414400
2019-02-25,135.059998,135.940002,134.589996,135.369995,131.687042,1339600
2019-02-26,134.940002,136.070007,134.550003,135.169998,131.492508,1290100
2019-02-27,134.309998,135.029999,133.029999,133.029999,129.410706,1505200
2019-02-28,133.110001,133.919998,133.000000,133.899994,130.257034,2090400
2019-03-01,134.710007,135.399994,134.029999,134.119995,130.471054,1670900
2019-03-04,134.360001,134.830002,132.460007,133.570007,129.936050,1301400
2019-03-05,133.759995,134.070007,132.779999,133.539993,129.906845,1314600
2019-03-06,133.389999,134.559998,133.000000,133.289993,129.663635,922700
2019-03-07,132.779999,133.160004,132.000000,132.679993,129.070221,1245200
2019-03-08,132.009995,132.850006,131.630005,132.360001,128.758957,1048000
2019-03-11,133.029999,133.690002,132.649994,133.410004,129.780380,1367900
2019-03-12,133.839996,134.710007,133.699997,134.100006,130.451630,1128100
2019-03-13,134.350006,135.220001,133.899994,134.520004,130.860184,1501000
2019-03-14,134.940002,135.949997,134.389999,135.399994,131.716248,1408000
2019-03-15,135.039993,136.919998,135.039993,136.350006,132.640411,2307700
2019-03-18,136.690002,137.880005,136.380005,137.380005,133.642380,1679400
2019-03-19,136.910004,138.039993,135.660004,135.699997,132.008087,1679900
2019-03-20,135.970001,136.589996,134.690002,134.720001,131.054733,1451000
2019-03-21,133.449997,136.419998,133.350006,136.169998,133.186981,1154900
2019-03-22,135.350006,138.059998,135.000000,136.619995,133.627121,1558500
2019-03-25,136.809998,137.279999,136.089996,136.669998,133.676041,1159900
2019-03-26,137.179993,137.750000,136.690002,137.330002,134.321579,1369900
2019-03-27,137.589996,139.830002,137.460007,138.839996,135.798508,1818600
2019-03-28,138.899994,139.539993,137.789993,139.080002,136.033249,1325900
2019-03-29,139.600006,140.179993,139.169998,140.080002,137.011337,2007500
2019-04-01,140.610001,141.589996,140.339996,141.460007,138.361099,1445700
2019-04-02,141.460007,141.559998,139.720001,139.910004,136.845062,1372100
2019-04-03,139.789993,139.990005,137.179993,137.839996,134.820389,1937000
2019-04-04,137.600006,137.619995,136.179993,136.770004,133.773849,2271700
2019-04-05,137.000000,137.800003,136.639999,137.589996,134.575867,1391200
2019-04-08,137.320007,137.500000,136.470001,137.160004,134.155304,1065900
2019-04-09,136.500000,136.570007,135.720001,136.570007,133.578217,1099200
2019-04-10,136.600006,137.559998,136.440002,137.410004,134.399826,1003400
2019-04-11,137.710007,138.380005,137.399994,137.990005,134.967117,1111000
2019-04-12,138.479996,139.410004,137.880005,139.169998,136.121262,1544000
2019-04-15,139.080002,139.429993,138.649994,138.960007,135.915878,1155800
2019-04-16,139.410004,140.279999,139.369995,140.210007,137.138504,1172400
2019-04-17,138.649994,139.600006,137.350006,137.789993,134.771484,1417100
2019-04-18,137.800003,140.460007,137.800003,138.660004,135.622437,1302200
2019-04-22,138.020004,138.139999,137.160004,138.039993,135.016022,855000
2019-04-23,138.259995,139.020004,137.869995,138.600006,135.563766,993200
2019-04-24,139.000000,141.410004,138.449997,140.550003,137.471054,1882700
2019-04-25,139.990005,142.009995,139.279999,141.710007,138.605621,1314900
2019-04-26,141.880005,143.059998,141.710007,142.979996,139.847809,1207800
2019-04-29,142.970001,144.399994,142.639999,143.630005,140.483566,1162800
2019-04-30,144.059998,145.240005,143.199997,145.199997,142.019165,2025900
2019-05-01,142.369995,145.600006,142.000000,144.229996,141.070435,1930800
2019-05-02,144.490005,145.339996,143.309998,144.330002,141.168228,1327700
2019-05-03,144.770004,145.759995,143.970001,145.050003,141.872452,1196900
2019-05-06,143.759995,145.339996,143.509995,144.830002,141.657288,936500
2019-05-07,145.759995,145.759995,142.199997,142.789993,139.661957,1524600
2019-05-08,142.850006,143.899994,142.169998,142.779999,139.652206,1041200
2019-05-09,141.750000,143.279999,141.410004,142.649994,139.525024,1112500
2019-05-10,142.089996,144.960007,141.800003,144.729996,141.559464,1162000
2019-05-13,143.039993,144.360001,142.389999,143.350006,140.209702,1314700
2019-05-14,143.119995,145.399994,143.119995,143.880005,140.728088,1213100
2019-05-15,142.830002,144.720001,142.830002,143.669998,140.522675,967900
2019-05-16,143.940002,146.050003,143.309998,145.619995,142.429962,957400
2019-05-17,144.500000,146.190002,144.419998,144.990005,141.813766,1440700
2019-05-20,144.990005,146.309998,144.509995,145.750000,142.557129,1306400
2019-05-21,145.869995,146.649994,145.770004,146.210007,143.007034,1249000
2019-05-22,146.210007,148.389999,145.750000,148.020004,144.777390,1155600
